OrderItemID,OrderID,BookID,Quantity,UnitPrice,OrderDate,ClientName,Status,Title,Genre,ISBN,PublishYear,Revenue
1,1,1,3,49.9,2025-01-10,TechBooks GmbH,New,Python для початківців,Навчальна,978-0-100000-001,2023,149.7
2,2,2,2,59.0,2025-01-15,EduLab SA,Completed,SQL на практиці,Навчальна,978-0-100000-002,2024,118.0
3,3,3,1,39.5,2025-02-01,DataWorks AG,InProgress,Data Analytics 101,Навчальна,978-0-100000-003,2025,39.5
4,4,4,5,29.9,2025-02-18,Libra LLC,Completed,Story Craft,Fiction,978-0-100000-004,2022,149.5
5,5,5,4,54.0,2025-03-03,Orion Labs,New,Mountains & Lakes,Travel,978-0-100000-005,2021,216.0
6,6,6,3,46.0,2025-03-20,Pixel Media,InProgress,AI for Editors,Technology,978-0-100000-006,2025,138.0
7,7,7,2,32.0,2025-04-05,QuickLearn,Completed,Clean Data,Non-Fiction,978-0-100000-007,2020,64.0
8,8,8,6,52.5,2025-04-22,Read&Co,New,Sci-Fi Tales,Sci-Fi,978-0-100000-008,2019,315.0
9,9,9,2,28.9,2025-05-09,Star Books,Completed,Business Blue,Business,978-0-100000-009,2024,57.8
10,10,10,7,44.0,2025-05-25,Nova Print,Canceled,Creative SQL,Technology,978-0-100000-010,2023,308.0
